Number of edges,Runtime
0,0.000151634
1,0.001014709
6,0.00020647
7,0.00073266
8,0.000172853
9,0.000189066
9,0.000350714
10,0.000381708
18,0.000413895
20,0.000182629
21,0.000180244
22,0.000205994
26,0.000239611
32,0.00036478
33,0.000246286
34,0.000209332
37,0.000203609
38,0.000228167
41,0.000233412
42,0.000222206
48,0.000378609
51,0.000447273
53,0.00026679
56,0.000427246
62,0.000312805
64,0.000418425
67,0.000255108
70,0.00028038
75,0.000263453
79,0.000283003
80,0.000225306
81,0.000505686
82,0.000273228
85,0.000438452
88,0.000335455
94,0.000280619
95,0.001279831
103,0.000313997
109,0.000276327
111,0.000266314
